0.000000,0.640000,nan,0.000000,0.320000,0.000000,nan,0.000000,nan,0.000000,0.000000,0.640000,0.000000,0.000000,0.000000,0.320000,0.000000,1.290000,nan,0.000000,0.960000,0.000000,0.000000,nan,0.000000,nan,nan,0.000000,0.000000,0.000000,nan,0.000000,nan,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,nan,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.778000,0.000000,0.000000,3.756000,61.000000,nan,1.000000
nan,0.000000,0.000000,0.000000,nan,nan,0.310000,0.630000,0.310000,0.630000,0.310000,0.310000,0.310000,0.000000,0.000000,0.310000,0.000000,0.000000,3.180000,nan,0.310000,0.000000,nan,0.000000,0.000000,nan,0.000000,0.000000,nan,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.137000,nan,0.137000,0.000000,0.000000,3.537000,40.000000,191.000000,1.000000
nan,0.000000,0.000000,nan,0.630000,nan,nan,0.630000,0.310000,0.630000,0.310000,0.310000,0.310000,nan,0.000000,0.310000,0.000000,0.000000,3.180000,nan,nan,0.000000,0.000000,nan,0.000000,nan,0.000000,nan,nan,nan,nan,nan,nan,0.000000,nan,0.000000,0.000000,0.000000,nan,0.000000,nan,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,nan,0.000000,nan,3.537000,40.000000,191.000000,1.000000
0.000000,nan,nan,0.000000,1.850000,0.000000,nan,1.850000,0.000000,nan,0.000000,nan,nan,0.000000,nan,0.000000,nan,nan,nan,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,nan,nan,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,nan,nan,0.223000,0.000000,0.000000,0.000000,0.000000,3.000000,nan,54.000000,1.000000
nan,0.000000,0.000000,0.000000,1.920000,0.000000,0.000000,nan,nan,0.640000,0.960000,1.280000,nan,0.000000,0.000000,0.960000,0.000000,0.320000,3.850000,nan,0.640000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,0.054000,0.000000,0.164000,0.054000,0.000000,1.671000,4.000000,112.000000,1.000000
nan,0.000000,0.000000,nan,1.880000,0.000000,0.000000,1.880000,0.000000,0.000000,nan,0.000000,0.000000,nan,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,nan,0.000000,0.000000,nan,0.000000,nan,nan,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,0.000000,nan,0.000000,0.000000,nan,nan,nan,0.000000,0.000000,2.450000,nan,49.000000,1.000000
0.150000,nan,nan,0.000000,nan,0.000000,nan,0.000000,nan,nan,0.760000,0.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,1.230000,nan,2.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0.150000,nan,nan,0.000000,0.000000,nan,0.000000,0.000000,0.000000,nan,0.300000,nan,0.000000,0.000000,nan,nan,0.000000,nan,0.000000,0.181000,0.203000,nan,9.744000,nan,1257.000000,1.000000
0.060000,nan,0.770000,0.000000,0.190000,0.320000,0.380000,0.000000,0.060000,0.000000,nan,0.640000,0.250000,0.000000,nan,0.000000,0.000000,0.120000,1.670000,0.060000,0.710000,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.000000,nan,nan,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,nan,0.000000,0.000000,0.040000,0.030000,0.000000,0.244000,0.081000,0.000000,1.729000,nan,nan,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,0.000000,0.000000,1.920000,0.960000,0.000000,nan,nan,0.000000,0.000000,nan,nan,3.840000,0.000000,0.960000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,nan,0.000000,0.000000,0.000000,0.000000,nan,0.000000,nan,0.000000,0.000000,0.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.462000,0.000000,nan,nan,6.000000,21.000000,1.000000
0.000000,0.000000,0.000000,nan,nan,0.000000,0.900000,0.000000,0.000000,0.900000,0.900000,0.000000,0.900000,nan,0.000000,0.000000,0.000000,0.000000,2.720000,0.000000,nan,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.083000,nan,nan,1.000000
